,,,,2002,to,2010,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Rajkot,Gondal,Other,Spices,4,2130,3550,3245,01-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,11,2005,4410,3725,01-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,6,2875,4275,3475,01-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,4,2090,4440,4120,01-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,5,3755,4545,4440,01-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,3,1805,4770,4420,01-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,7,3600,4580,4125,01-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,8,2750,4000,3830,01-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,1,2150,4400,3340,01-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,5,2855,4240,3720,1/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,3,2300,3805,3500,1/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,4,1455,3820,3680,1/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,2560,3245,3100,1/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,4,2085,3945,3355,1/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,3045,3890,3500,1/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,1230,3995,3625,1/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,2700,4000,3500,1/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,1600,2800,2350,1/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,1250,3305,2200,1/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,1600,3140,2620,1/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.8,1605,3020,2195,1/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,9.5,2625,3625,3000,1/31/2002
Gujarat,Rajkot,Gondal,Other,Spices,6.4,1500,3470,2095,02-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,11.7,1045,3925,2975,02-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,15.7,1000,4010,2985,02-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,12,1150,4000,2900,02-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,21.3,1350,4000,2805,02-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,12.6,1750,4060,2875,02-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,24.3,1355,3125,2715,02-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,35.8,1280,3710,2665,02-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,57.2,1250,3795,2890,02-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,47.4,1650,3500,2700,02-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,52,1645,3520,2690,2/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,56.1,1750,3400,2900,2/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,87.2,1700,3500,3180,2/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,78,1100,3205,2820,2/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,113,1000,3180,2625,2/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,64.6,1025,3230,2500,2/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,102.1,1165,3125,2420,2/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,93.7,1000,3260,2250,2/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,118.4,750,2995,1925,2/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,135.2,750,2695,1900,2/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,123,750,2700,1750,2/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,131.7,750,2650,1750,2/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,99.5,770,2815,1875,03-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,102.4,910,2725,1750,03-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,120.3,875,2710,1750,03-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,141.3,875,2545,1750,03-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,185,1000,2415,1725,03-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,129,850,2630,1625,3/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,96,700,1820,1200,3/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,89.7,650,2420,1250,3/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,123.9,700,2075,1400,3/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,147.6,500,2000,1325,3/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,178.5,875,2050,1650,3/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,13.2,655,2115,1175,3/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,121.5,750,2000,1500,04-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,157.4,500,1965,1490,04-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,118.5,900,2260,1750,04-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,105.9,750,2090,1675,04-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,161.4,750,2200,1750,04-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,133.8,700,2015,1750,04-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,125.2,700,2360,1700,04-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,109.5,700,2305,1800,04-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,112.9,825,2305,1825,04-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,96.3,750,2115,1700,4/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,157.2,850,2190,1800,4/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,132.8,800,2220,1700,4/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,114.4,800,2375,1800,4/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,110.4,700,2190,1650,4/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,108,750,2405,1650,4/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,127.8,750,2255,1750,4/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,158.1,800,2455,1900,4/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,111.6,850,2620,1535,4/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,60.9,850,2295,1750,4/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,61.9,850,2270,1650,05-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,35.7,900,2040,1725,05-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,90.3,1000,2275,1700,05-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,51.3,900,2385,1700,05-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,37.2,1025,2090,1800,05-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,55.5,900,2140,1800,05-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,34.2,900,2160,1750,05-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,59.7,900,2250,1800,05-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,38.4,900,2155,1750,05-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,72,1000,2440,1875,5/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,34.2,1000,2495,1825,5/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,24.4,1050,2410,1725,5/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,36.6,1105,2380,1875,5/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.4,1000,2330,1750,5/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.7,1000,2130,1625,5/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,46.5,1000,2250,1750,5/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,15,855,2110,1750,5/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,26.7,740,2160,1650,5/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,24.3,755,2095,1750,5/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.8,930,2185,1725,5/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,29.1,1000,2445,1800,5/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,19.1,1000,2365,1800,5/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,16.5,955,2110,1750,5/31/2002
Gujarat,Rajkot,Gondal,Other,Spices,10.9,885,2165,1600,06-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,28.1,905,2345,1750,06-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,830,2325,1700,06-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,830,2215,1750,06-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,925,2180,1750,06-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,13.9,1025,2370,1750,06-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,15.3,1250,2445,1800,06-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,18.6,1205,2330,1750,06-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,15.3,1000,2300,1800,06-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,18.4,850,2165,1800,6/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,11.9,805,2375,1750,6/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,9,1220,2250,1650,6/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,12.6,1130,2215,1725,6/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,16.8,855,2205,1800,6/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,16.5,755,2250,1650,6/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,3.3,830,2135,2020,6/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,13.5,750,1975,1550,6/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,9,930,2140,1625,6/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,7.3,855,2445,1700,6/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,2.2,1155,1825,1375,6/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,4,70,230,200,6/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,3,1685,2365,2070,6/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,7.7,900,2400,2000,07-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,8.8,1000,2490,2000,07-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,5.9,750,2195,1750,07-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,74.4,1230,2340,1845,07-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,82,1155,2580,1750,07-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,9.5,1155,2535,1705,07-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,13.4,1155,2600,2440,07-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,3.7,1205,2500,1750,07-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,5.6,930,2490,2250,07-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,2.7,1025,1995,1850,7/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,6.3,1145,2265,1625,7/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,3.5,1000,2620,1650,7/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,3.6,1125,2570,1600,7/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,3,1105,2345,1690,7/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.3,1160,2445,1690,7/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,3,1145,2265,1575,7/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,10.2,1085,2495,2245,7/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.9,1230,2095,1990,7/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,1.8,765,2390,1770,7/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.4,810,2240,1745,7/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,5.5,1015,2420,2375,7/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.5,955,2405,1600,7/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,6,1020,2390,1620,7/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,12.9,750,2375,1595,7/31/2002
Gujarat,Rajkot,Gondal,Other,Spices,8.4,1040,2240,2105,08-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,2.6,1155,2195,1750,08-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,2.9,700,2325,1400,08-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,9.4,750,2325,1695,08-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,5.7,850,2420,1895,08-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,5.7,830,2455,1690,08-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,3,930,2370,1845,08-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,8.6,1050,2590,2360,08-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,10.5,1255,2595,2225,08-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,15,1060,2595,2225,08-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,18.4,1140,2745,2250,8/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,19.1,1200,2790,2225,8/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,27.3,1160,2835,2250,8/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,25.2,1155,2785,2225,8/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,21,1045,2970,2300,8/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,23.4,1000,2875,2425,8/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,54.1,1305,3260,2600,8/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,41.2,1000,3160,2105,8/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,38.6,1300,3745,3100,8/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,46.5,1370,4295,3200,8/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,112.5,2250,4400,3000,8/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,32.6,1950,3995,2770,09-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,97,1830,3395,3075,09-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,45.6,1555,4000,3300,09-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,80.6,2150,4625,3650,09-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,102.6,2275,4320,3600,09-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,165.2,1800,4565,3500,09-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,33,1750,5000,3350,09-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,37.8,1750,4135,3150,9/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,56.5,1700,4165,3250,9/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,56.4,1625,4105,3250,9/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,63.6,1700,4700,3400,9/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,69,1750,4400,3400,9/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,33.3,1500,4125,3300,9/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,60.3,1725,4125,3500,9/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,30,1810,4150,3500,9/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,48.9,1500,4110,3250,9/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,69.8,2360,3835,3300,9/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,51.6,1750,3890,3000,9/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,54,1750,3795,2850,9/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,35.9,2000,3765,3150,10-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,55.2,2000,4125,3150,10-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,88.4,1875,3875,3125,10-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,65.7,1875,3890,3100,10-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,78.6,1875,4310,3200,10-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,58.6,2000,4125,3250,10-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,77.1,1750,4180,3250,10-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,40.2,1790,3675,2950,10-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,49.8,1700,3625,2850,10-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,46.8,1500,4000,2750,10-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,136.4,1500,3590,2750,10/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,98.4,1625,3760,2750,10/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,64.8,1500,3620,2750,10/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,88.5,1750,3685,3000,10/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,78.9,1625,3830,2900,10/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,48.3,1750,3730,2750,10/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,51.9,1500,3355,2750,10/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,29.1,1250,3560,2750,10/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,53.4,1500,3550,2750,10/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,58.8,1625,3685,2750,10/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,80,1500,3905,2800,10/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,66.6,1500,3625,3000,11-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,80.1,1500,3570,2900,11-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,59.7,2000,3930,3000,11-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,64.2,1500,3810,3000,11-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,114.8,1500,3970,3075,11-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,81.1,1625,3850,3125,11/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,26.8,1500,3540,2880,11/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,36,1500,3450,2800,11/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,39,1110,3010,2375,11/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,51.1,1250,3105,2500,11/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,44.1,1250,2625,1850,11/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,76.2,1250,2840,2125,12-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,68.5,1250,2855,2300,12-03-2002
Gujarat,Rajkot,Gondal,Desi,Spices,683,1250,2875,2400,12-04-2002
Gujarat,Rajkot,Gondal,Desi,Spices,570,1420,2860,2500,12-05-2002
Gujarat,Rajkot,Gondal,Desi,Spices,597,1260,2940,2250,12-07-2002
Gujarat,Rajkot,Gondal,Desi,Spices,676,1920,2910,2325,12-09-2002
Gujarat,Rajkot,Gondal,Desi,Spices,750,1250,3000,2400,12-10-2002
Gujarat,Rajkot,Gondal,Desi,Spices,541,1400,2740,2260,12-11-2002
Gujarat,Rajkot,Gondal,Desi,Spices,510,1400,2645,2300,12/13/2002
Gujarat,Rajkot,Gondal,Desi,Spices,792,1250,2655,2250,12/14/2002
Gujarat,Rajkot,Gondal,Desi,Spices,465,1250,2625,2300,12/16/2002
Gujarat,Rajkot,Gondal,Desi,Spices,741,1000,2725,2000,12/17/2002
Gujarat,Rajkot,Gondal,Desi,Spices,432,1310,2675,2075,12/18/2002
Gujarat,Rajkot,Gondal,Desi,Spices,603,1125,2625,1900,12/19/2002
Gujarat,Rajkot,Gondal,Desi,Spices,317,1160,2550,1775,12/20/2002
Gujarat,Rajkot,Gondal,Desi,Spices,547,755,2205,1625,12/21/2002
Gujarat,Rajkot,Gondal,Desi,Spices,559,1000,2455,1925,12/23/2002
Gujarat,Rajkot,Gondal,Desi,Spices,715,1000,2360,1950,12/24/2002
Gujarat,Rajkot,Gondal,Desi,Spices,"1,085.00",1250,2960,2015,12/26/2002
Gujarat,Rajkot,Gondal,Desi,Spices,"1,040.00",1500,3000,2200,12/27/2002
Gujarat,Rajkot,Gondal,Desi,Spices,729,1705,3605,3075,01-02-2003
Gujarat,Rajkot,Gondal,Desi,Spices,546,1400,3180,2510,01-03-2003
Gujarat,Rajkot,Gondal,Desi,Spices,624,1250,2825,2240,01-04-2003
Gujarat,Rajkot,Gondal,Desi,Spices,712,1250,3050,2400,01-06-2003
Gujarat,Rajkot,Gondal,Desi,Spices,916,1400,2875,2350,01-07-2003
Gujarat,Rajkot,Gondal,Desi,Spices,805,1500,3075,2425,01-08-2003
Gujarat,Rajkot,Gondal,Desi,Spices,501,1425,3250,2175,01-09-2003
Gujarat,Rajkot,Gondal,Desi,Spices,766,1400,2950,2075,01-10-2003
Gujarat,Rajkot,Gondal,Desi,Spices,650,1405,3050,2300,01-11-2003
Gujarat,Rajkot,Gondal,Desi,Spices,844,1500,3145,2425,1/13/2003
Gujarat,Rajkot,Gondal,Desi,Spices,431,1500,3075,2400,1/15/2003
Gujarat,Rajkot,Gondal,Desi,Spices,816,1750,2870,2300,1/18/2003
Gujarat,Rajkot,Gondal,Desi,Spices,638,1500,2835,2250,1/20/2003
Gujarat,Rajkot,Gondal,Average,Spices,264,1150,2435,2125,1/22/2003
Gujarat,Rajkot,Gondal,Average,Spices,633,1250,2685,2040,1/23/2003
Gujarat,Rajkot,Gondal,Average,Spices,784,1250,2565,2075,1/27/2003
Gujarat,Rajkot,Gondal,Average,Spices,559,1250,2480,2050,1/28/2003
Gujarat,Rajkot,Gondal,Average,Spices,600,1125,2495,2000,1/29/2003
Gujarat,Rajkot,Gondal,Average,Spices,372,1125,2325,1750,1/30/2003
Gujarat,Rajkot,Gondal,Average,Spices,330,900,2350,1250,02-01-2003
Gujarat,Rajkot,Gondal,Average,Spices,421,1000,2365,1675,02-03-2003
Gujarat,Rajkot,Gondal,Average,Spices,233,900,2290,1650,02-04-2003
Gujarat,Rajkot,Gondal,Average,Spices,291,1255,2500,1815,02-05-2003
Gujarat,Rajkot,Gondal,Average,Spices,330,1340,2650,2150,02-06-2003
Gujarat,Rajkot,Gondal,Average,Spices,203,555,2180,1625,02-07-2003
Gujarat,Rajkot,Gondal,Average,Spices,296,880,2135,1605,02-08-2003
Gujarat,Rajkot,Gondal,Average,Spices,370,705,2500,1555,02-10-2003
Gujarat,Rajkot,Gondal,Average,Spices,259,735,2325,1825,02-11-2003
Gujarat,Rajkot,Gondal,Average,Spices,779,555,2055,1855,2/13/2003
Gujarat,Rajkot,Gondal,Average,Spices,244,1000,1995,1440,2/14/2003
Gujarat,Rajkot,Gondal,Average,Spices,493,1125,1900,1440,2/15/2003
Gujarat,Rajkot,Gondal,Average,Spices,510,850,1970,1400,2/17/2003
Gujarat,Rajkot,Gondal,Average,Spices,358,625,1950,1255,2/18/2003
Gujarat,Rajkot,Gondal,Average,Spices,338,875,2000,1255,2/19/2003
Gujarat,Rajkot,Gondal,Average,Spices,502,1000,2020,1750,2/21/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,004.00",1000,1700,1250,2/24/2003
Gujarat,Rajkot,Gondal,Average,Spices,502,1000,1700,1255,2/25/2003
Gujarat,Rajkot,Gondal,Average,Spices,724,1105,1710,1255,2/26/2003
Gujarat,Rajkot,Gondal,Average,Spices,855,1050,1760,1260,2/28/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,122.00",750,1825,1400,03-03-2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,038.00",755,1600,1355,03-04-2003
Gujarat,Rajkot,Gondal,Average,Spices,840,750,1495,1200,03-05-2003
Gujarat,Rajkot,Gondal,Average,Spices,766,1000,1730,1465,03-07-2003
Gujarat,Rajkot,Gondal,Average,Spices,869,1000,1700,1450,03-08-2003
Gujarat,Rajkot,Gondal,Average,Spices,999,1100,1795,1460,03-10-2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,143.00",1000,1595,1450,03-11-2003
Gujarat,Rajkot,Gondal,Average,Spices,762,1010,1670,1370,03-12-2003
Gujarat,Rajkot,Gondal,Average,Spices,631,980,1505,1115,3/20/2003
Gujarat,Rajkot,Gondal,Average,Spices,838,500,1275,750,3/21/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,005.00",700,1575,1000,3/22/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,194.00",750,1450,1110,3/24/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,312.00",625,1515,1050,3/25/2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,116.00",500,1370,1055,04-02-2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,080.00",500,1505,1055,04-03-2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,003.00",450,1375,915,04-04-2003
Gujarat,Rajkot,Gondal,Average,Spices,809,750,1300,900,04-05-2003
Gujarat,Rajkot,Gondal,Average,Spices,877,450,1230,850,04-07-2003
Gujarat,Rajkot,Gondal,Average,Spices,970,475,1405,885,04-09-2003
Gujarat,Rajkot,Gondal,Average,Spices,"1,300.00",500,1530,1000,04-10-2003
Gujarat,Rajkot,Gondal,Average,Spices,725,350,1515,1000,4/24/2003
Gujarat,Rajkot,Gondal,Average,Spices,771,500,1375,1000,4/26/2003
Gujarat,Rajkot,Gondal,Average,Spices,783,500,1370,1000,4/28/2003
Gujarat,Rajkot,Gondal,Average,Spices,777,600,1530,1005,4/29/2003
Gujarat,Rajkot,Gondal,Average,Spices,874,555,1510,1050,4/30/2003
Gujarat,Rajkot,Gondal,Average,Spices,535,500,1505,1000,05-02-2003
Gujarat,Rajkot,Gondal,Average,Spices,345,750,1490,1120,05-03-2003
Gujarat,Rajkot,Gondal,Average,Spices,742,500,1475,1000,05-05-2003
Gujarat,Rajkot,Gondal,Average,Spices,409,500,1460,1000,05-06-2003
Gujarat,Rajkot,Gondal,Average,Spices,394,500,1590,1000,05-08-2003
Gujarat,Rajkot,Gondal,Average,Spices,313,500,1450,795,5/27/2003
Gujarat,Rajkot,Gondal,Average,Spices,406,500,1420,750,5/28/2003
Gujarat,Rajkot,Gondal,Average,Spices,336,550,1300,865,5/29/2003
Gujarat,Rajkot,Gondal,Average,Spices,334,500,1420,880,5/30/2003
Gujarat,Rajkot,Gondal,Average,Spices,494,500,1400,850,5/31/2003
Gujarat,Rajkot,Gondal,Average,Spices,480,500,1445,855,06-02-2003
Gujarat,Rajkot,Gondal,Average,Spices,338,500,1440,855,06-03-2003
Gujarat,Rajkot,Gondal,Average,Spices,92,1000,1550,1225,07-12-2003
Gujarat,Rajkot,Gondal,Average,Spices,158,700,1460,1080,7/14/2003
Gujarat,Rajkot,Gondal,Average,Spices,198,475,1500,1110,7/15/2003
Gujarat,Rajkot,Gondal,Average,Spices,249,560,1325,875,7/16/2003
Gujarat,Rajkot,Gondal,Average,Spices,157,400,1440,990,7/17/2003
Gujarat,Rajkot,Gondal,Average,Spices,274,400,1400,965,7/18/2003
Gujarat,Rajkot,Gondal,Average,Spices,119,170,500,440,7/19/2003
Gujarat,Rajkot,Gondal,Average,Spices,253,550,1500,1225,7/21/2003
Gujarat,Rajkot,Gondal,Average,Spices,222,625,1565,1125,7/22/2003
Gujarat,Rajkot,Gondal,Average,Spices,243,750,1565,1325,7/23/2003
Gujarat,Rajkot,Gondal,Average,Spices,341,575,1500,1225,7/25/2003
Gujarat,Rajkot,Gondal,Average,Spices,211,500,1330,1085,7/26/2003
